datetime,open,high,low,close,volume
2015-06-25,193.28,193.80,192.78,193.09,89762000
2015-06-26,193.40,194.23,193.01,193.11,107181200
2015-06-29,192.05,193.09,190.76,190.86,192059200
2015-06-30,191.25,192.28,191.16,191.17,129380000
2015-07-01,191.71,192.53,191.32,192.53,115402400
2015-07-02,192.97,193.60,192.33,193.60,86824000
2015-07-06,192.10,193.16,191.85,192.25,95794800
2015-07-07,193.20,194.24,192.14,193.12,126174800
2015-07-08,192.44,193.96,189.44,189.67,201634800
2015-07-09,190.89,192.21,190.58,191.75,116203600
2015-07-10,192.61,193.40,192.25,193.35,98220000
2015-07-13,193.83,194.72,193.60,194.45,89938400
2015-07-14,194.74,195.27,194.38,195.04,90471200
2015-07-15,195.49,195.92,195.04,195.58,96463600
2015-07-16,196.09,196.53,195.67,196.35,90865600
2015-07-17,196.48,196.69,195.72,196.06,92059200
2015-07-20,196.58,197.08,196.40,196.79,79760000
2015-07-21,197.00,197.44,196.45,196.67,88062000
2015-07-22,196.77,197.24,196.43,196.58,91403200
2015-07-23,197.00,197.64,196.82,197.36,85026800
2015-07-24,196.75,197.21,195.18,195.30,126869200
2015-07-27,195.02,195.36,193.90,194.04,115646000
2015-07-28,194.76,195.77,194.44,195.55,102621600
2015-07-29,195.98,196.70,195.37,196.66,103906400
2015-07-30,196.48,196.74,195.89,196.08,102318400
2015-07-31,196.18,196.97,195.45,195.51,145863200
2015-08-03,195.41,195.49,193.82,194.19,120142800
2015-08-04,194.60,195.28,194.08,195.16,95642400
2015-08-05,195.47,196.08,195.17,195.95,89294000
2015-08-06,195.84,196.06,194.82,195.34,97352400
2015-08-07,195.12,195.21,193.88,194.50,112560000
2015-08-10,194.96,196.06,194.88,195.99,92219200
2015-08-11,195.77,196.14,194.31,194.72,111534400
2015-08-12,194.64,195.74,194.40,195.16,88700400
2015-08-13,195.48,196.35,195.14,196.08,88587600
2015-08-14,196.03,196.38,195.30,195.42,83045200
2015-08-17,195.34,196.08,195.11,195.55,78026000
2015-08-18,195.80,196.15,194.52,194.94,88538800
2015-08-19,194.44,194.76,193.14,193.68,114594400
2015-08-20,193.33,193.75,191.46,191.55,149058400
2015-08-21,189.14,190.89,186.90,187.24,252549200
2015-08-24,184.16,188.44,182.45,185.42,349221600
2015-08-25,186.99,188.70,183.60,188.37,285059200
2015-08-26,188.96,191.70,187.85,191.29,235956000
2015-08-27,192.23,193.59,190.44,193.26,175794400
2015-08-28,193.96,194.48,192.68,194.35,116534800
2015-08-31,194.09,194.35,192.16,192.36,126260000
2015-09-01,191.48,192.00,188.37,188.59,158929600
2015-09-02,188.39,189.68,187.36,189.07,123416400
2015-09-03,189.54,190.57,188.91,190.05,100471200
2015-09-04,189.05,189.48,186.09,186.62,143619200
2015-09-08,187.91,189.62,187.55,189.55,115324800
2015-09-09,190.16,191.52,189.81,191.17,104860000
2015-09-10,191.62,192.45,191.25,192.45,86582400
2015-09-11,192.84,193.31,192.30,193.13,84779200
2015-09-14,193.31,193.65,192.68,193.42,79169200
2015-09-15,193.67,194.06,192.74,192.82,96370800
2015-09-16,193.14,194.21,192.96,194.07,91689200
2015-09-17,194.70,195.04,193.59,194.86,129766000
2015-09-18,194.31,194.85,192.48,192.70,187936400
2015-09-21,193.04,193.77,192.60,193.30,95186800
2015-09-22,193.05,193.35,191.55,191.74,115788400
2015-09-23,191.43,192.23,190.44,190.52,113444400
2015-09-24,190.39,191.34,189.70,190.30,110055200
2015-09-25,190.45,191.78,189.70,191.59,118480800
2015-09-28,191.18,192.19,188.44,188.59,148990800
2015-09-29,188.93,190.42,188.56,190.13,125508000
2015-09-30,189.71,190.70,188.82,188.84,152088400
2015-10-01,189.01,189.45,187.45,187.62,127065600
2015-10-02,186.12,188.45,184.27,188.05,172334400
2015-10-05,189.21,191.48,189.19,191.41,108092400
2015-10-06,191.51,193.35,191.45,193.31,102502800
2015-10-07,193.31,193.58,192.09,192.36,93971600
2015-10-08,192.11,193.53,191.59,193.31,101419200
2015-10-09,193.86,194.51,193.30,194.16,83247600
2015-10-12,194.53,195.33,194.42,195.19,84198400
2015-10-13,195.31,195.76,193.78,194.73,110266400
2015-10-14,194.82,195.52,194.43,194.91,87038800
2015-10-15,195.39,196.48,195.05,196.26,98845600
2015-10-16,196.54,197.09,196.08,196.81,92925600
2015-10-19,197.24,197.68,196.55,197.05,83714400
2015-10-20,197.08,197.42,196.28,196.60,94796800
2015-10-21,196.69,197.25,196.44,197.09,86699600
2015-10-22,197.80,199.50,197.80,199.42,125532800
2015-10-23,199.73,200.57,199.40,200.01,113812000
2015-10-26,200.04,200.39,199.21,199.64,88612400
2015-10-27,199.69,200.26,198.84,199.77,109529600
2015-10-28,200.30,201.82,200.10,201.20,116267600
2015-10-29,201.15,201.68,200.50,200.78,96970000
2015-10-30,200.75,201.13,199.75,200.04,101587600
2015-11-02,200.32,201.64,200.07,201.63,101440400
2015-11-03,201.86,202.28,201.30,202.13,94738000
2015-11-04,202.51,203.19,201.83,203.07,98188000
2015-11-05,203.14,203.76,202.52,203.61,93964400
2015-11-06,203.82,204.72,203.59,204.44,100733200
2015-11-09,203.94,204.23,202.59,202.88,107343200
2015-11-10,202.87,203.24,201.55,201.75,111730400
2015-11-11,202.16,203.12,201.92,202.93,86209200
2015-11-12,202.74,203.29,201.49,201.59,104452000
2015-11-13,199.26,200.19,196.21,196.75,198440800
2015-11-16,197.50,199.36,197.09,199.04,128304000
2015-11-17,199.31,199.92,198.49,198.73,106065200
2015-11-18,198.91,199.82,198.46,199.59,86213600
2015-11-19,199.66,200.34,199.21,199.92,89769200
2015-11-20,199.83,200.16,198.83,198.91,98566400
2015-11-23,199.36,200.54,199.36,200.42,76010000
2015-11-24,200.63,201.43,200.52,201.37,72838000
2015-11-25,201.49,201.73,200.92,201.23,77016400
2015-11-27,201.23,201.44,200.83,201.13,47279200
2015-11-30,201.09,201.26,199.82,200.28,116558000
2015-12-01,200.49,201.03,199.42,199.72,105763600
2015-12-02,199.49,201.08,199.18,200.53,95034400
2015-12-03,200.69,201.34,199.12,199.21,112666000
2015-12-04,199.62,201.19,199.26,201.02,99506000
2015-12-07,200.44,200.49,198.46,198.59,103999600
2015-12-08,198.71,199.35,197.27,197.45,113444800
2015-12-09,197.87,198.81,197.46,198.63,91469200
2015-12-10,198.62,199.24,198.07,198.21,101729600
2015-12-11,196.58,197.24,194.46,194.55,172669600
2015-12-14,195.27,197.00,194.78,196.75,118171600
2015-12-15,196.93,197.88,196.48,197.54,98737200
2015-12-16,197.94,198.59,197.36,198.34,130144800
2015-12-17,198.49,199.07,198.07,198.82,101205600
2015-12-18,198.95,200.14,197.64,197.92,148764400
2015-12-21,198.23,199.24,198.14,199.12,82925600
2015-12-22,199.49,200.35,199.35,200.02,75852000
2015-12-23,200.27,201.03,199.87,200.59,59097200
2015-12-24,200.49,200.96,200.37,200.49,37011600
2015-12-28,200.74,201.03,199.37,199.44,85118000
2015-12-29,200.00,200.50,198.93,199.43,102616800
2015-12-30,199.44,200.06,199.09,199.26,75593200
2015-12-31,199.19,199.58,198.46,198.82,84236800
